"","df","logLik","AICc","Delta","Weight"
"1/2/3/4/5/6/7/9/10/11/12",15,-3289.78866279345,6609.9965395607,4.47226694648452,0.00645999479123035
"1/2/3/4/5/6/7/9/10/11",14,-3290.83186682398,6610.03022579455,4.50595318033265,0.00635209954052129
"1/2/4/5/6/8",10,-3294.97409649763,6610.13949734309,4.615224728871,0.00601435805849977
"1/2/3/4/5/6/7/12",12,-3292.95422091978,6610.18021884304,4.65594622882327,0.00589313945630074
"1/2/4/5/6/9/11/12",12,-3292.95866413327,6610.18910527002,4.66483265579791,0.00586701306513522
"1/4/5/6/7/10/12",11,-3294.03808094979,6610.30592691264,4.78165429842375,0.00553413256384689
"1/2/3/4/5/6/7/11/12",13,-3292.00633627263,6610.33002215292,4.80574953870564,0.00546785945512748
"1/2/5/6/10/11",10,-3295.07965040131,6610.35060515044,4.82633253622043,0.00541187555956198
"1/2/4/5/6/7/8/10/11",13,-3292.027244584,6610.37183877567,4.84756616145296,0.00535472261871524
"1/2/4/5/6/8/11/12",12,-3293.09047346161,6610.45272392671,4.92845131249396,0.00514248450018586
"1/2/3/4/5/6/7/8/12",13,-3292.09225026016,6610.50185012799,4.97757751376957,0.00501770786002411
"1/2/5/6",8,-3297.20629453164,6610.53758906327,5.0133164490544,0.00492884046305078
"1/2/3/4/5/6/8/9/10/11",14,-3291.11410878926,6610.59470972512,5.07043711089773,0.00479006235592494
"1/2/3/4/5/6/7/8/9/10/11/12",16,-3289.0745298335,6610.62458414252,5.10031152830379,0.00471904392385046
"1/2/3/4/5/6/7/8/10/12",14,-3291.16670884916,6610.69990984492,5.17563723069907,0.00454461660790867
"1/4/5/6/7/8/10/12",12,-3293.22281340894,6610.71740382136,5.19313120714651,0.00450503824802593
"1/2/4/5/6/7/9/11/12",13,-3292.21478424441,6610.74691809649,5.22264548226849,0.00443904491287157
"1/2/4/5/6/7/8/9/10/11",14,-3291.25769407005,6610.8818802867,5.35760767247757,0.00414937677591331
"1/2/5/6/9/10/11",11,-3294.330754417,6610.89127384705,5.36700123283208,0.00412993376085042
"1/2/3/4/5/6/7/10/12",13,-3292.3032960552,6610.92394171807,5.39966910385101,0.00406302362964079
"1/2/3/4/5/6/7/8/11/12",14,-3291.29208757109,6610.95066728877,5.42639467455592,0.00400909146151547
"1/2/3/4/5/6/7",11,-3294.36795080589,6610.96566662484,5.44139401061784,0.00397913707084006
"1/2/4/5/6/8/12",11,-3294.37876414418,6610.98729330141,5.46302068719706,0.003936341116164
"1/2/4/6/10/11",10,-3295.40743466857,6611.00617368496,5.48190107074333,0.00389935614840317
