"","(Intercept)","FinFSLdat_AnnEsts","FinFSLdat_SpringDat","FinFSLdat_SummerDat","FinSouthSST_AnnEsts","FSL_months_Apr","FSL_months_Jan","FSL_months_May","FSL_months_Oct","FSLdat_Autumn","s(Ages)","SST_South_Months_Jun","df","logLik","AICc","delta","weight"
"1678",3.56999194922539,6.35533164377414,NA,1.54351798356723,0.434867332145428,NA,NA,NA,-2.76280522570225,NA,"+",0.173072745477727,10,-2282.17773575268,4584.60405907598,59.5584157040157,1.63941452985574e-14
"1698",8.90757550503084,6.48260264789675,NA,NA,NA,NA,0.345146106766826,NA,-1.90082760345909,NA,"+",0.320067333649157,9,-2283.25385549172,4584.71087125431,59.665227882344,1.55415671792164e-14
"1558",8.72278884468423,4.70310485109895,NA,1.15850695138648,NA,-0.847375839345436,NA,NA,NA,NA,"+",0.342088355728888,9,-2283.33105478355,4584.86526983797,59.8196264660055,1.43869118806493e-14
"570",5.48554596907594,3.01008170936096,NA,NA,0.547936309424953,0.657368701045888,0.509960976877793,NA,NA,NA,"+",NA,9,-2283.33724364071,4584.87764755231,59.8320041803399,1.42981482938409e-14
"518",14.0579521606564,4.57755143912439,NA,1.4891438902358,NA,NA,NA,NA,NA,NA,"+",NA,7,-2285.46827015443,4585.06266643498,60.0170230630129,1.30347725440787e-14
"1582",4.64344650349998,3.11874419786617,NA,2.69484058353371,0.372155909454562,NA,-1.72386243164739,NA,NA,NA,"+",0.22988893897738,10,-2282.4401357261,4585.12885902282,60.0832156508504,1.26104306856131e-14
"526",5.33990987443576,3.26576284578839,NA,1.45488795087595,0.539511493742685,NA,NA,NA,NA,NA,"+",NA,8,-2284.60654068012,4585.37542634333,60.3297829713656,1.11477829929991e-14
"1834",2.55630798747249,5.13086068423463,NA,NA,0.388663127505182,NA,1.13075479038557,NA,NA,-2.41354036935427,"+",0.348974558337695,10,-2282.57787580408,4585.40433917877,60.3586958068054,1.09877852688266e-14
"1642",2.75719336681195,5.83070861542576,NA,NA,0.389093861988737,NA,1.15111490410407,-2.29002926708816,NA,NA,"+",0.310275572257533,10,-2282.65364918724,4585.55588594509,60.5102425731247,1.01859655111313e-14
"1706",3.22925824826409,5.71072331817274,NA,NA,0.422679208771384,NA,0.570808830668362,NA,-2.01917771526266,NA,"+",0.240384966956358,10,-2282.69079277266,4585.63017311595,60.584529743981,9.81456254922321e-15
"1586",8.80785617386258,4.39755073275405,NA,NA,NA,-0.185511793036017,0.178112519381937,NA,NA,NA,"+",0.356955167095279,9,-2283.72049968442,4585.64415963972,60.5985162677553,9.74616617862213e-15
"1566",3.27251469776531,3.75021206217146,NA,1.26757291210068,0.410610913060998,-0.768478339342762,NA,NA,NA,NA,"+",0.265697988088211,10,-2282.79380739007,4585.83620235076,60.7905589787933,8.85385218727612e-15
"546",14.404348166468,4.85656852875438,NA,NA,NA,NA,0.674028862131383,NA,NA,NA,"+",NA,7,-2285.96572200195,4586.05757013003,61.0119267580667,7.92616054520108e-15
"554",5.19445684567695,3.46705021334913,NA,NA,0.564494753461023,NA,0.788927508601238,NA,NA,NA,"+",NA,8,-2285.03118716706,4586.22471931721,61.1790759452451,7.29066058023138e-15
"1542",9.25790570235566,4.17883537479826,NA,0.761221829165039,NA,NA,NA,NA,NA,NA,"+",0.310691452559233,8,-2285.16704786809,4586.49644071926,61.4507973472928,6.36448587805152e-15
"1594",3.34099464983782,3.51069854814186,NA,NA,0.407874375587607,-0.17204750530877,0.377336362419798,NA,NA,NA,"+",0.281145735867358,10,-2283.18713056205,4586.62284869473,61.5772053227574,5.97467359415078e-15
