"","Year","FishName","Ages","Site","OtoWidth","FSLann","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
"518",1971,"X050193",3,"South",0.823939360017558,1.02974175283359,0.982742325037854,0.980932009566427,0.996155441850018,0.990024492471512,0.961934657322469,0.992564221569886,0.995850411637225,1.00591110536688,0.998687525435825,0.967283850966466
"519",1971,"X050184",8,"South",0.897598148491405,1.02971011027822,0.982720707568445,0.980914470743949,0.996129153610785,0.990001278197129,0.961915205728535,0.992554487222204,0.995843224556051,1.00590496822813,0.998676766923714,0.967268347480183
"520",1971,"X040036",10,"South",0.946302214963502,1.02967856732416,0.982698974723022,0.980896888015714,0.996102731632775,0.989977908431475,0.961895617418512,0.992544644799872,0.995836011700166,1.00589869083134,0.998665857776958,0.967252722438417
"521",1971,"X040070",18,"South",0.938600910737914,1.02964712487734,0.982677126642782,0.980879261680599,0.996076176204797,0.989954383329542,0.961875892177925,0.992534694294524,0.995828773293792,1.00589227338967,0.998654797694404,0.967236975619531
"523",1971,"X050263",18,"South",0.893759962467469,1.02958454508279,0.982633085368284,0.980843879413152,0.996022666159333,0.989906867751029,0.961836030101078,0.992514469010649,0.995814220732986,1.00587901921648,0.998632223519934,0.9672051158118
"524",1971,"X050289",8,"South",1.11944872304399,1.02955340950032,0.982610892481707,0.980826124106604,0.995995712125162,0.989882877599043,0.961815892890936,0.992504194226097,0.995806907033312,1.00587218290326,0.99862070882843,0.967189002427631
"525",1971,"X050088",3,"South",0.747552338917214,1.02952237795554,0.982588584976462,0.980808326444891,0.995968625807518,0.989858732760972,0.961795618002922,0.992493811346817,0.995799568692728,1.00586520738171,0.998609042002468,0.967172766476269
"528",1971,"X050134",4,"South",0.781461562727635,1.02942991609127,0.982520976445301,0.980754682626264,0.99588657610825,0.989785371848942,0.961733965738496,0.992462014180036,0.99577740813676,1.00584344760946,0.998573125737594,0.967123321532835
"529",1971,"X040018",1,"South",1.56520893600971,1.02939930919573,0.982498212187647,0.980736718869792,0.995858963617159,0.989760610000656,0.961713138662248,0.992451198972859,0.995769973550041,1.00583591728783,0.998560847396524,0.967106593675304
"535",1971,"X040019",17,"South",0.83310589108451,1.02921796900687,0.982359245224534,0.980628095018283,0.995690552518048,0.989608815672263,0.961585267448619,0.992384039109296,0.995724881367469,1.00578783997311,0.998483941018052,0.967003632413583
"536",1971,"X050085",17,"South",0.764007310249919,1.02918813654333,0.98233568908636,0.980609854271808,0.99566203081717,0.989582981222995,0.961563470092078,0.992372467885344,0.995717287466156,1.00577934632004,0.998470581158817,0.966986038911909
"538",1971,"X040046",16,"South",1.03336091984966,1.0291288135761,0.982288240232007,0.980573258998247,0.995604601740604,0.989530855233553,0.961519458829011,0.992349001747005,0.995702034533543,1.00576194862254,0.998443394128974,0.966950479829488
"540",1971,"X050255",7,"South",1.06534267255975,1.02906995149872,0.98224034416616,0.98053651467825,0.995546660506713,0.989478121195504,0.961474892063168,0.992325104238686,0.995686696405042,1.00574400496194,0.998415582081221,0.966914424310759
"544",1971,"X050116",9,"South",0.969301153939545,1.02895363308831,0.982143218262522,0.980462592082185,0.995429251625963,0.989370835953357,0.961384092344643,0.992276016326919,0.995655772543717,1.00570648551272,0.998358073685952,0.966840823080225
"550",1971,"X040033",4,"South",1.24794784262306,1.02878275254698,0.981994226685828,0.980350675129131,0.99524936057162,0.989205392712399,0.961243733236343,0.992199157764574,0.995608798218177,1.00564614693583,0.998267065951105,0.966726696523387
"561",1972,"X040036",11,"South",0.896302215867331,0.935913204436839,1.003325889589,1.01868750991478,1.01211920650367,0.999828896307712,0.978808814901014,0.995083179756086,1.00730044498298,1.01470006037056,0.973833040037988,0.980289804719102
"562",1972,"X050110",8,"South",1.09310593989222,0.935888950159443,1.0032989214184,1.01866767120752,1.01208689413465,0.999798845692706,0.978782957670457,0.995068775130247,1.00729227179646,1.0146879545372,0.97381596571991,0.980268696753228
