"Year","FishName","OtoWidth","Ages","Site","FSLann","FSLsumm","FSLaut","FSLwin","FSLspr","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
2001,"X040045",19.89233333,38,"South",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X040036",17.378,40,"South",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060269",21.98366667,39,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060091",19.84633333,43,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060089",13.80933333,62,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X050229",30.99966667,40,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060141",17.303,42,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060251",20.8935,51,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X050193",14.42133333,33,"South",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X050088",19.56866667,33,"South",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060149",11.47933333,64,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X050184",15.132,38,"South",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060228",21.41533333,39,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X040046",19.37266667,46,"South",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
