"Year","SouthSST_Annual","SST_South_Months_Jun","LagSouthSST_Spring","LagSST_South_Months_Sep","LagSST_South_Months_Nov","FinSouthSST_AnnEsts","LagFinSouthSST_AnnEsts","LagFinSouthSST_SpringDat","FSLdat_Annual","FSLdat_Summer","FSLdat_Autumn","FSLdat_Spring","FSL_months_Jan","FSL_months_Feb","FSL_months_Mar","FSL_months_Apr","FSL_months_May","FSL_months_Oct","LagFSLdat_Annual","LagFSLdat_Summer","LagFSLdat_Autumn","LagFSLdat_Winter","LagFSLdat_Spring","LagFSL_months_Feb","LagFSL_months_Apr","LagFSL_months_May","LagFSL_months_Jun","LagFSL_months_Jul","LagFSL_months_Aug","LagFSL_months_Sep","LagFSL_months_Oct","LagFSL_months_Nov","FinFSLdat_AnnEsts","FinFSLdat_SummerDat","FinFSLdat_AutumnDat","FinFSLdat_SpringDat","LagFinFSLdat_AnnEsts","LagFinFSLdat_SummerDat","LagFinFSLdat_AutumnDat","LagFinFSLdat_SpringDat"
1975,17.9641666666667,17.87,16.9133333333333,16.52,17.14,18.2933333333333,18.2933333333333,16.8333333333333,0.806083333333333,0.698,0.869666666666667,0.767333333333333,0.626,0.692,0.799,0.865,0.945,0.79,0.735583333333333,0.735,0.817666666666667,0.76,0.629666666666667,0.794,0.834,0.847,0.775,0.756,0.749,0.618,0.627,0.618,0.7975,0.677333333333333,0.869666666666667,0.629666666666667,0.69525,0.777666666666667,0.817666666666667,0.599
1976,18.27,18.3,16.8333333333333,16.44,17.32,17.8325,17.8325,16.95,0.735583333333333,0.735,0.817666666666667,0.629666666666667,0.763,0.794,0.772,0.834,0.847,0.627,0.682166666666667,0.658,0.721333333333333,0.750333333333333,0.599,0.672,0.718,0.782,0.827,0.732,0.692,0.584,0.619,0.584,0.69525,0.777666666666667,0.817666666666667,0.599,0.709,0.652666666666667,0.721333333333333,0.675666666666667
1977,17.9233333333333,17.11,16.95,15.97,17.96,18.3691666666667,18.3691666666667,16.8333333333333,0.682166666666667,0.658,0.721333333333333,0.599,0.638,0.672,0.664,0.718,0.782,0.619,0.745666666666667,0.675,0.819333333333333,0.812666666666667,0.675666666666667,0.632,0.817,0.888,0.849,0.838,0.751,0.682,0.624,0.682,0.709,0.652666666666667,0.721333333333333,0.675666666666667,0.720583333333333,0.66,0.819333333333333,0.648666666666667
1978,18.3008333333333,18.38,16.8333333333333,16.03,17.31,18.1358333333333,18.1358333333333,16.62,0.745666666666667,0.675,0.819333333333333,0.675666666666667,0.684,0.632,0.753,0.817,0.888,0.624,0.691666666666667,0.611666666666667,0.772,0.734333333333333,0.648666666666667,0.614,0.767,0.801,0.807,0.723,0.673,0.717,0.61,0.717,0.720583333333333,0.66,0.819333333333333,0.648666666666667,0.699583333333333,0.636,0.772,0.601
1979,18.1083333333333,17.69,16.62,16.16,17.07,18.0466666666667,18.0466666666667,16.3,0.691666666666667,0.611666666666667,0.772,0.648666666666667,0.585,0.614,0.748,0.767,0.801,0.61,0.692083333333333,0.654,0.776,0.737333333333333,0.601,0.601,0.818,0.811,0.782,0.736,0.694,0.624,0.554,0.624,0.699583333333333,0.636,0.772,0.601,0.679583333333333,0.647666666666667,0.776,0.702666666666667
1980,17.8991666666667,18.21,16.3,15.62,17.15,17.7141666666667,17.7141666666667,16.4433333333333,0.692083333333333,0.654,0.776,0.601,0.706,0.601,0.699,0.818,0.811,0.554,0.722083333333333,0.608666666666667,0.759,0.818,0.702666666666667,0.55,0.777,0.812,0.824,0.867,0.763,0.707,0.676,0.707,0.679583333333333,0.647666666666667,0.776,0.702666666666667,0.718916666666667,0.607,0.759,0.603333333333333
1981,17.6191666666667,17.18,16.4433333333333,15.82,17.38,17.56,17.56,16.48,0.722083333333333,0.608666666666667,0.759,0.702666666666667,0.616,0.55,0.688,0.777,0.812,0.676,0.672,0.633333333333333,0.711666666666667,0.739666666666667,0.603333333333333,0.635,0.701,0.752,0.821,0.734,0.664,0.617,0.579,0.617,0.718916666666667,0.607,0.759,0.603333333333333,0.690833333333333,0.644333333333333,0.711666666666667,0.662
1982,17.6666666666667,17.67,16.48,15.9,16.71,18.0566666666667,18.0566666666667,16.2733333333333,0.672,0.633333333333333,0.711666666666667,0.603333333333333,0.638,0.635,0.682,0.701,0.752,0.579,0.730166666666667,0.645666666666667,0.751666666666667,0.861333333333333,0.662,0.678,0.821,0.806,0.942,0.809,0.833,0.62,0.625,0.62,0.690833333333333,0.644333333333333,0.711666666666667,0.662,0.7675,0.628333333333333,0.751666666666667,0.701333333333333
1983,18.0058333333333,17.95,16.2733333333333,16.59,17.48,17.9741666666667,17.9741666666667,17.0366666666667,0.730166666666667,0.645666666666667,0.751666666666667,0.662,0.58,0.678,0.628,0.821,0.806,0.625,0.766416666666667,0.670333333333333,0.87,0.824,0.701333333333333,0.701,0.879,1.002,0.919,0.802,0.751,0.669,0.733,0.669,0.7675,0.628333333333333,0.751666666666667,0.701333333333333,0.753583333333333,0.684333333333333,0.87,0.643666666666667
1984,18.2808333333333,18.12,17.0366666666667,16.5,16.91,18.52,18.52,16.59,0.766416666666667,0.670333333333333,0.87,0.701333333333333,0.673,0.701,0.729,0.879,1.002,0.733,0.737166666666667,0.686333333333333,0.81,0.808666666666667,0.643666666666667,0.847,0.873,0.82,0.891,0.792,0.743,0.666,0.598,0.666,0.753583333333333,0.684333333333333,0.87,0.643666666666667,0.717416666666667,0.688333333333333,0.81,0.611
