"","Year","FishName","Ages","Site","OtoWidth","FSLann","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
"516",1971,"X060091",13,"West",0.958093849074092,1.02980533307856,0.98278521330973,0.980966954326406,0.996207615963238,0.99007045394228,0.961973151277064,0.992583366087246,0.995864707584217,1.00592295800735,0.998708591761904,0.967314494207678
"517",1971,"X060116",10,"West",1.01013008851285,1.02977349407533,0.982763826995158,0.980949504189787,0.996181596063011,0.990047551102788,0.961953972426255,0.99257384785382,0.995857572720543,1.00591710203233,0.998698133614462,0.967299233128728
"522",1971,"X060251",21,"West",0.872873105112801,1.02961578383441,0.982655163474166,0.980861592043064,0.996049487616666,0.989930703049166,0.961856029802991,0.992524635699441,0.995821509562487,1.00588571611474,0.998643586375355,0.967221106811563
"526",1971,"X060149",34,"West",0.613440953338426,1.02949145130714,0.982566163019748,0.980790486754928,0.99594140750138,0.989834433407111,0.961775205278003,0.992483320375764,0.995792205941735,1.00585809285728,0.99859722274391,0.967156407784236
"527",1971,"X060180",19,"West",1.10076262482726,1.02946063040561,0.982543626783422,0.98077260536929,0.995914057502519,0.98980997971067,0.96175465456875,0.992472721317677,0.995784819012075,1.00585083953251,0.998585250754496,0.967139926187731
"530",1971,"X060113",7,"West",1.70891995410711,1.02936881054116,0.98247533419853,0.980718714449307,0.995831220329098,0.989735694349086,0.961692173225925,0.992440275708016,0.995762515487408,1.00582824876558,0.998548415435432,0.967089742480127
"531",1971,"X060119",1,"West",0.82818218724063,1.02933842094054,0.982452342670892,0.980700669720014,0.995803346544709,0.989710625080499,0.961671069327115,0.992429244399912,0.995755034185654,1.00582044223929,0.998535829558782,0.967072767822537
"532",1971,"X060228",9,"West",0.656270870628381,1.029308141197,0.982429237803556,0.980682585042956,0.995775342567059,0.989685402384612,0.961649826874543,0.992418105065695,0.995747529882827,1.00581249790458,0.998523089472377,0.967055669587722
"533",1971,"X060131",3,"West",2.05428259423294,1.02927797210496,0.982406019799853,0.980664460784528,0.995747208699868,0.989660026453665,0.961628445787912,0.992406857724431,0.995740002818261,1.0058044159544,0.998510194882268,0.967038447670173
"534",1971,"X060089",32,"West",0.699310254639918,1.02924791444968,0.982382688868774,0.980646297317044,0.995718945248047,0.989634497483116,0.961606925998438,0.992395502397791,0.995732453232528,1.00579619658066,0.998497145495263,0.967021101974116
"537",1971,"X060253",12,"West",0.711489301959021,1.02915841781704,0.982312020678842,0.980591575466827,0.995633380454453,0.989556994340497,0.961541533893484,0.992360788754183,0.995709671772961,1.00577071580813,0.998457065625988,0.966968321402874
"539",1971,"X060115",11,"West",0.894555852479254,1.02909932455981,0.982264347981103,0.980554905266635,0.995575694987177,0.989504564113694,0.961497244886103,0.992337106896648,0.99569437599487,1.00575304494677,0.998429566377365,0.966932514144701
"541",1971,"X060267",22,"West",0.693423298359342,1.02904069511369,0.982216229033145,0.980518087645128,0.995517498614029,0.989451526697321,0.961452400370719,0.992312993811229,0.995678996013606,1.00573482884856,0.998401440951802,0.966896210300494
"542",1971,"X060135",8,"West",0.796007235133535,1.02901155611629,0.982192002833311,0.98049962458493,0.995488209624789,0.989424780840767,0.961429769830152,0.99230077565478,0.995671275071368,1.00572551678494,0.998387142701282,0.966877872095884
"543",1971,"X060141",12,"West",0.887436295789918,1.02898253520999,0.982167665822474,0.980481125920903,0.995458793855839,0.989397883850206,0.961407000473361,0.992288449811693,0.995663533830275,1.00571606894802,0.998372687041649,0.966859409688631
"545",1971,"X050247",9,"West",1.42459739513335,1.02892485043571,0.982118660420193,0.980444023503516,0.995399583254579,0.98934363738169,0.961361045499167,0.99226347524808,0.995647991466299,1.00569676665238,0.99834330234793,0.966822112282087
"546",1971,"X060270",7,"West",0.936869271333111,1.02889618792839,0.982093992567719,0.980425420625488,0.995369789063241,0.989316288368864,0.961337860003053,0.99225082662478,0.995640190853941,1.0056869125392,0.998328372742023,0.966803277315285
"547",1971,"X050229",10,"West",1.36043389727673,1.0288676462326,0.982069214982535,0.98040678389426,0.995339869374617,0.989288789153525,0.961314535934126,0.992238070509226,0.995632370963821,1.00567692334325,0.998313284583288,0.966784318210598
"548",1971,"X060117",15,"West",0.749446633054607,1.0288392260062,0.982044327947494,0.980388113761691,0.995309824512552,0.989261139975497,0.961291073381153,0.992225206955602,0.995624532054401,1.00566679923283,0.998298037587265,0.966765235008372
"549",1971,"X060264",17,"West",0.861633820752087,1.02881092789775,0.982019331750793,0.980369410685536,0.995279654802479,0.989233341079276,0.961267472444605,0.992212236020901,0.995616674385486,1.00565654037526,0.998282631470917,0.966746027759237
"551",1971,"X060266",7,"West",1.09916271920034,1.02875470058437,0.981969013051407,0.980331907561641,0.995218942148033,0.989177295125906,0.96121985587947,0.992185972248671,0.995600903814892,1.0056356190783,0.998251340745536,0.966707241370793
"552",1971,"X060133",3,"West",3.26639675916911,1.02872677263182,0.981943691151962,0.980313108457822,0.995188399861425,0.989149048573095,0.961195840507634,0.992172679536539,0.995592991439265,1.00562495696442,0.998235455572834,0.966687662380554
"553",1971,"X060269",9,"West",1.13756452038667,1.02869896930166,0.981918261296618,0.980294278298391,0.99515773404329,0.989120653311934,0.961171687267014,0.992159279695011,0.99558506135633,1.0056141607552,0.998219410152545,0.96666795964269
"554",1972,"X060117",16,"West",0.776098720222889,0.936086274492211,1.00351164095388,1.01882557444043,1.01234193920441,1.00003509295861,0.978985919707725,0.995181017986823,1.00735720760013,1.01478104136837,0.973948132599848,0.980434070229079
