"Year","FSLann","FSLsumm","FSLaut","FSLwin","FSLspr","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
1991,0.705833333333333,0.597666666666667,0.791333333333333,0.817666666666667,0.616666666666667,19.0766666666667,19.9,20.4833333333333,18.34,17.5833333333333,20.3016666666667,21.06,21.5966666666667,19.63,18.92
1992,0.699,0.620333333333333,0.744666666666667,0.808333333333333,0.622666666666667,19.1708333333333,20.39,20.8433333333333,18,17.45,20.1266666666667,21.2066666666667,21.6266666666667,19.0566666666667,18.6166666666667
1993,0.647,0.58,0.676333333333333,0.723333333333333,0.608333333333333,18.9066666666667,20.0466666666667,20.2466666666667,17.8533333333333,17.48,19.7366666666667,20.5566666666667,20.8633333333333,19.0733333333333,18.4533333333333
1994,0.685083333333333,0.633333333333333,0.778,0.745666666666667,0.583333333333333,19.4425,20.1233333333333,20.98,18.51,18.1566666666667,20.69,21.2866666666667,22.3033333333333,19.9266666666667,19.2433333333333
1995,0.745,0.671,0.769,0.815333333333333,0.724666666666667,19.5683333333333,20.6333333333333,21.1533333333333,18.4,18.0866666666667,20.5208333333333,21.42,22.08,19.4066666666667,19.1766666666667
1996,0.82225,0.762666666666667,0.809666666666667,0.931,0.785666666666667,19.5983333333333,20.9333333333333,20.9433333333333,18.2866666666667,18.23,20.8183333333333,21.7466666666667,22.17,19.8966666666667,19.46
1997,0.70375,0.721666666666667,0.757,0.747,0.589333333333333,19.5,20.8833333333333,20.6666666666667,18.3266666666667,18.1233333333333,20.6616666666667,21.78,21.99,19.5666666666667,19.31
1998,0.742583333333333,0.583333333333333,0.806333333333333,0.851666666666667,0.729,19.7666666666667,20.8466666666667,21.3333333333333,18.5266666666667,18.36,20.9283333333333,21.3733333333333,22.5,20.4333333333333,19.4066666666667
1999,0.875416666666667,0.798,0.995666666666667,0.921,0.787,19.755,20.7266666666667,21.1966666666667,18.9533333333333,18.1433333333333,21.0466666666667,21.53,22.69,20.5666666666667,19.4
2000,0.85225,0.796,0.952666666666667,0.908666666666667,0.751666666666667,19.8133333333333,21.1566666666667,21.2,18.73,18.1666666666667,20.8933333333333,22.0266666666667,22.4066666666667,19.7866666666667,19.3533333333333
2001,0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2002,0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2003,0.741416666666667,0.678333333333333,0.834333333333333,0.794,0.659,19.1091666666667,20.1533333333333,20.8,18.1066666666667,17.3766666666667,20.2441666666667,21.14,21.91,19.5166666666667,18.41
2004,0.743083333333333,0.704,0.793333333333333,0.802666666666667,0.672333333333333,19.1658333333333,20.1966666666667,20.7333333333333,18.16,17.5733333333333,20.4341666666667,21.1966666666667,22.0533333333333,19.8566666666667,18.63
2005,0.76,0.658333333333333,0.835666666666667,0.837333333333333,0.708666666666667,19.0325,19.9066666666667,20.5533333333333,18.3,17.37,20.0916666666667,20.5966666666667,21.8033333333333,19.6266666666667,18.34
2006,0.752666666666667,0.677666666666667,0.836333333333333,0.819,0.677666666666667,19.14,20.0433333333333,20.3333333333333,18.2366666666667,17.9466666666667,20.2308333333333,20.9433333333333,21.6166666666667,19.3433333333333,19.02
2007,0.77725,0.706,0.8,0.876666666666667,0.726333333333333,19.36,20.2866666666667,20.6466666666667,18.5166666666667,17.99,20.5516666666667,21.3466666666667,21.8833333333333,19.6166666666667,19.36
2008,0.857916666666667,0.800666666666667,0.959333333333333,0.897333333333333,0.774333333333333,19.6925,20.8,21.22,18.76,17.99,20.7616666666667,21.7866666666667,22.3233333333333,19.7833333333333,19.1533333333333
2009,0.806833333333333,0.767333333333333,0.880333333333333,0.862,0.717666666666667,19.0916666666667,20.53,20.7333333333333,17.7433333333333,17.36,20.1941666666667,21.5766666666667,21.7966666666667,18.69,18.7133333333333
2010,0.797083333333333,0.746333333333333,0.808666666666667,0.845666666666667,0.787666666666667,19.4166666666667,20.3433333333333,20.62,18.4566666666667,18.2466666666667,20.4783333333333,21.57,21.51,19.42,19.4133333333333
2011,0.926,0.968666666666667,0.998,0.911333333333333,0.826,19.9941666666667,21.13,21.7033333333333,18.7533333333333,18.39,21.1158333333333,22.2833333333333,22.9133333333333,19.7066666666667,19.56
2012,0.89525,0.917,0.999666666666667,0.887,0.777333333333333,19.8233333333333,21.0733333333333,21.3466666666667,18.9366666666667,17.9366666666667,20.9,22.18,22.7066666666667,19.8766666666667,18.8366666666667
