,(Intercept),FinFSLdat_AnnEsts,FinWestSST_AnnEsts,FinWestSST_SummerDat,FSL_months_Apr,FSLdat_Spring,s(Ages),SST_West_Months_Jul,SST_West_Months_Jun,SST_West_Months_Oct,SST_West_Months_Sep,WestSST_Spring,WestSST_Winter,df,logLik,AICc,delta,weight
1072,-12.46716774,-0.660422446,1.896695383,0.413631457,3.800065999,NA,+,NA,NA,NA,NA,-0.936110241,NA,10,-3295.931546,6612.054396,6.530123306,0.001931545
2164,-5.120550592,-3.449079026,1.008280376,NA,NA,5.730407116,+,0.676423577,NA,NA,NA,NA,-0.514136935,10,-3295.942341,6612.075987,6.551714647,0.001910805
2814,0.225274944,-1.338856764,NA,0.337500654,1.502261566,2.936078572,+,1.678623342,0.607252524,NA,0.814991315,NA,-2.560552722,13,-3292.889291,6612.095931,6.571658876,0.001891845
1584,-13.07449849,-0.803117737,1.906869325,0.374196083,3.889303048,NA,+,NA,NA,NA,0.576736676,-1.436743494,NA,11,-3294.959323,6612.14841,6.624137697,0.00184285
564,-6.552100511,-5.10680179,0.9978169,NA,NA,6.681385446,+,NA,NA,NA,0.286806232,NA,NA,9,-3297.016077,6612.18854,6.664267264,0.001806242
192,-8.760728358,-4.857406221,1.269541834,0.1966897,2.55590706,4.880686915,+,NA,-0.158635884,NA,NA,NA,NA,11,-3294.983537,6612.19684,6.672566982,0.001798762
3636,-8.42259747,-6.564928833,1.653279846,NA,NA,8.145107043,+,NA,NA,NA,0.782984768,-1.072084298,-0.016758358,11,-3295.03601,6612.301785,6.777511954,0.00170681
1652,-8.86311382,-5.891934286,1.446011983,NA,NA,7.50575139,+,0.241055784,NA,NA,0.661006706,-0.972977866,NA,11,-3295.048882,6612.327529,6.803256413,0.00168498
2674,3.379054519,-1.219319224,NA,NA,NA,4.898061896,+,1.037549895,NA,NA,0.826753341,NA,-1.107423323,10,-3296.099806,6612.390917,6.866644709,0.001632414
2748,-6.206244365,-5.201357929,1.024579365,NA,2.455222274,5.74207652,+,NA,-0.352250234,NA,0.308001691,NA,0.232714614,12,-3294.070491,6612.412759,6.888486543,0.001614683
2170,7.199135363,1.306956188,NA,NA,2.14760594,2.022981,+,0.868813621,NA,NA,NA,NA,-0.432129432,10,-3296.131142,6612.453588,6.929315049,0.001582055
2048,-13.49299587,-6.110164086,1.927455653,0.301824786,2.983231322,5.768798294,+,0.256098628,-0.175049744,0.528158137,0.859803905,-2.188785759,NA,15,-3291.017666,6612.454546,6.93027337,0.001581297
444,-7.119479218,-6.148395539,1.49142053,NA,3.511534705,5.576623367,+,NA,-0.109525744,-0.174088251,NA,NA,NA,11,-3295.117194,6612.464154,6.939881301,0.001573719
3956,-6.091467225,-5.031550723,1.313850228,NA,NA,7.252536199,+,0.681904994,NA,0.515712224,0.96312152,-1.520795907,-0.720938473,13,-3293.085397,6612.488143,6.963870445,0.001554955
3584,-12.39726483,-4.522475167,1.590116627,0.412867981,2.907140525,3.688175612,+,0.935575421,0.369527091,0.259569433,NA,-0.88477858,-1.238175327,15,-3291.040997,6612.501208,6.976935326,0.001544831
1280,-13.51101642,-4.776764044,1.693978512,0.361712252,2.932477949,4.311721511,+,0.323563219,-0.088968192,NA,NA,-0.793963696,NA,13,-3293.093468,6612.504286,6.980013699,0.001542455
2804,-3.748280741,-4.961154372,0.758495859,NA,NA,6.520650488,+,1.300552425,0.475863051,NA,0.692282175,NA,-2.071443247,12,-3294.130591,6612.532959,7.008686274,0.0015205
2168,-10.83022639,-2.296491093,0.924029288,0.442082714,NA,4.068405641,+,0.808092456,NA,NA,NA,NA,-0.731840647,11,-3295.183326,6612.596416,7.072143412,0.001473014
3194,3.53224697,-0.362918647,NA,NA,1.832094145,2.885559007,+,1.014570614,NA,NA,NA,0.562738639,-0.887240617,11,-3295.189697,6612.609159,7.08488646,0.001463658
1908,-8.775576085,-5.648826214,1.577616559,NA,NA,7.466139649,+,0.280970616,NA,0.542928255,0.833355503,-1.874920015,NA,12,-3294.179091,6612.629959,7.10568674,0.001448515
764,-6.248831984,-4.655404356,0.865269382,NA,2.275320374,5.385130038,+,0.353736277,-0.306883457,NA,0.309604845,NA,NA,12,-3294.183359,6612.638496,7.114223292,0.001442345
1140,-7.31634832,-4.182697755,1.269648245,NA,NA,6.139866141,+,0.370068227,NA,NA,NA,-0.365064913,NA,10,-3296.226718,6612.64474,7.120466888,0.00143785
2156,-3.668524477,0.495325946,0.976990719,NA,3.517891096,NA,+,0.742177253,NA,NA,NA,NA,-0.721911412,10,-3296.237209,6612.665723,7.141450414,0.001422843
2938,3.156069391,-1.591709907,NA,NA,1.665015821,4.052674269,+,1.112125554,NA,0.176388204,0.716418635,NA,-1.260019332,12,-3294.220849,6612.713475,7.189202283,0.001389273
3704,-12.41070319,-4.23650049,1.296926006,0.434370913,NA,5.757680711,+,0.692862903,NA,NA,0.723353259,-0.843786151,-0.773791244,13,-3293.20004,6612.717429,7.193156233,0.00138653
1472,-13.33000086,-5.782775285,2.123682724,0.347732772,3.554213199,4.720155285,+,NA,0.017901894,0.231791554,NA,-1.26405952,NA,13,-3293.201149,6612.719647,7.195374788,0.001384992
2432,-9.78245398,-3.691910866,1.075271196,0.318860398,2.302276299,3.8948892,+,0.767796639,NA,-0.029159822,NA,NA,-0.778084477,13,-3293.207822,6612.732993,7.208720322,0.001375781
634,1.196528552,-1.34490497,NA,NA,1.334866752,3.709313245,+,0.465082832,NA,NA,0.373576734,NA,NA,10,-3296.27118,6612.733664,7.209391865,0.00137532
